Lambda,Hits@1,Hits@3,Hits@5,Hits@10
0.0,0.184,0.284,0.332,0.402
0.02040816326530612,0.202,0.276,0.332,0.394
0.04081632653061224,0.202,0.278,0.33,0.394
0.061224489795918366,0.202,0.278,0.332,0.392
0.08163265306122448,0.2,0.278,0.332,0.392
0.1020408163265306,0.2,0.278,0.332,0.392
0.12244897959183673,0.202,0.278,0.332,0.392
0.14285714285714285,0.202,0.278,0.334,0.392
0.16326530612244897,0.202,0.278,0.334,0.392
0.18367346938775508,0.202,0.278,0.334,0.392
0.2040816326530612,0.202,0.278,0.334,0.392
0.22448979591836732,0.202,0.278,0.334,0.392
0.24489795918367346,0.202,0.278,0.334,0.392
0.26530612244897955,0.202,0.278,0.334,0.392
0.2857142857142857,0.202,0.278,0.334,0.392
0.3061224489795918,0.202,0.278,0.334,0.392
0.32653061224489793,0.202,0.278,0.334,0.392
0.3469387755102041,0.202,0.278,0.334,0.392
0.36734693877551017,0.202,0.278,0.334,0.392
0.3877551020408163,0.202,0.278,0.334,0.392
0.4081632653061224,0.202,0.278,0.334,0.392
0.42857142857142855,0.202,0.278,0.334,0.392
0.44897959183673464,0.202,0.278,0.334,0.392
0.4693877551020408,0.202,0.278,0.334,0.392
0.4897959183673469,0.202,0.278,0.334,0.392
0.5102040816326531,0.202,0.278,0.334,0.392
0.5306122448979591,0.202,0.278,0.334,0.392
0.5510204081632653,0.202,0.278,0.334,0.392
0.5714285714285714,0.202,0.278,0.334,0.392
0.5918367346938775,0.202,0.278,0.334,0.392
0.6122448979591836,0.202,0.278,0.334,0.392
0.6326530612244897,0.202,0.278,0.334,0.392
0.6530612244897959,0.202,0.278,0.334,0.392
0.673469387755102,0.202,0.278,0.334,0.392
0.6938775510204082,0.202,0.278,0.334,0.392
0.7142857142857142,0.202,0.278,0.334,0.392
0.7346938775510203,0.202,0.278,0.334,0.392
0.7551020408163265,0.202,0.278,0.334,0.392
0.7755102040816326,0.202,0.278,0.334,0.392
0.7959183673469387,0.202,0.278,0.334,0.392
0.8163265306122448,0.202,0.278,0.334,0.392
0.836734693877551,0.202,0.278,0.334,0.392
0.8571428571428571,0.202,0.278,0.334,0.392
0.8775510204081632,0.202,0.278,0.334,0.392
0.8979591836734693,0.202,0.278,0.334,0.392
0.9183673469387754,0.202,0.278,0.334,0.392
0.9387755102040816,0.202,0.278,0.334,0.392
0.9591836734693877,0.202,0.276,0.334,0.392
0.9795918367346939,0.202,0.276,0.334,0.392
1.0,0.202,0.276,0.334,0.392
